"R"," R", "163097","09:09:45.325407","","","ARP","60","172.16.0.1 is at 00:10:7b:38:46:33"
"R"," R", "168452","09:15:17.091974","136.149.63.132","172.16.114.168","TCP","60","80 → 4637 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168453","09:15:17.092114","172.16.114.168","136.149.63.132","TCP","60","4637 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168454","09:15:17.092526","172.16.114.168","136.149.63.132","HTTP","263","GET /images/FTP.jpg HTTP/1.0 "
"R"," R", "168455","09:15:17.110043","136.149.63.132","172.16.114.168","TCP","60","80 → 4637 [ACK] Seq=1 Ack=210 Win=32736 Len=0"
"R"," R", "168456","09:15:17.119708","136.149.63.132","172.16.114.168","TCP","1078","[TCP segment of a reassembled PDU]"
"R"," R", "168457","09:15:17.120004","136.149.63.132","172.16.114.168","HTTP","352","HTTP/1.1 200 OK  (JPEG JFIF image)"
"R"," R", "168458","09:15:17.120074","136.149.63.132","172.16.114.168","TCP","60","80 → 4637 [FIN, ACK] Seq=1323 Ack=210 Win=32736 Len=0"
"R"," R", "168459","09:15:17.120212","172.16.114.168","136.149.63.132","TCP","60","4637 → 80 [ACK] Seq=210 Ack=1324 Win=30797 Len=0"
"R"," R", "168460","09:15:17.121355","172.16.114.168","136.149.63.132","TCP","60","4637 → 80 [FIN, ACK] Seq=210 Ack=1324 Win=32120 Len=0"
"R"," R", "168461","09:15:17.123515","136.149.63.132","172.16.114.168","TCP","60","80 → 4637 [ACK] Seq=1324 Ack=211 Win=32735 Len=0"
"R"," R", "168462","09:15:17.124002","172.16.114.168","136.149.63.132","TCP","60","4638 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168463","09:15:17.126072","136.149.63.132","172.16.114.168","TCP","60","80 → 4638 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168464","09:15:17.126220","172.16.114.168","136.149.63.132","TCP","60","4638 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168465","09:15:17.126636","172.16.114.168","136.149.63.132","HTTP","267","GET /images/newspap.gif HTTP/1.0 "
"R"," R", "168466","09:15:17.140020","136.149.63.132","172.16.114.168","TCP","60","80 → 4638 [ACK] Seq=1 Ack=214 Win=32736 Len=0"
"R"," R", "168467","09:15:17.152936","136.149.63.132","172.16.114.168","TCP","1078","[TCP segment of a reassembled PDU]"
"R"," R", "168468","09:15:17.153415","136.149.63.132","172.16.114.168","HTTP","564","HTTP/1.1 200 OK  (GIF89a)"
"R"," R", "168469","09:15:17.153477","136.149.63.132","172.16.114.168","TCP","60","80 → 4638 [FIN, ACK] Seq=1535 Ack=214 Win=32736 Len=0"
"R"," R", "168470","09:15:17.153613","172.16.114.168","136.149.63.132","TCP","60","4638 → 80 [ACK] Seq=214 Ack=1536 Win=30660 Len=0"
"R"," R", "168471","09:15:17.154717","172.16.114.168","136.149.63.132","TCP","60","4638 → 80 [FIN, ACK] Seq=214 Ack=1536 Win=32120 Len=0"
"R"," R", "168472","09:15:17.156902","136.149.63.132","172.16.114.168","TCP","60","80 → 4638 [ACK] Seq=1536 Ack=215 Win=32735 Len=0"
"R"," R", "168473","09:15:17.157406","172.16.114.168","136.149.63.132","TCP","60","4639 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168474","09:15:17.159432","136.149.63.132","172.16.114.168","TCP","60","80 → 4639 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168475","09:15:17.159577","172.16.114.168","136.149.63.132","TCP","60","4639 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168476","09:15:17.159954","172.16.114.168","136.149.63.132","HTTP","228","GET /frconten1.htm HTTP/1.0 "
"R"," R", "168477","09:15:17.180011","136.149.63.132","172.16.114.168","TCP","60","80 → 4639 [ACK] Seq=1 Ack=175 Win=32562 Len=0"
"R"," R", "168478","09:15:17.246898","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168479","09:15:17.248132","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168480","09:15:17.252439","172.16.114.168","136.149.63.132","TCP","60","4639 → 80 [ACK] Seq=175 Ack=2921 Win=32120 Len=0"
"R"," R", "168481","09:15:17.257979","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168482","09:15:17.259221","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168483","09:15:17.260465","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168484","09:15:17.262434","172.16.114.168","136.149.63.132","TCP","60","4639 → 80 [ACK] Seq=175 Ack=7301 Win=32120 Len=0"
"R"," R", "168485","09:15:17.267759","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168486","09:15:17.268993","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168487","09:15:17.270223","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168488","09:15:17.270534","136.149.63.132","172.16.114.168","HTTP","362","HTTP/1.1 200 OK  (text/html)"
"R"," R", "168489","09:15:17.272433","172.16.114.168","136.149.63.132","TCP","60","4639 → 80 [ACK] Seq=175 Ack=11989 Win=32120 Len=0"
"R"," R", "168490","09:15:17.275398","136.149.63.132","172.16.114.168","TCP","60","80 → 4639 [FIN, ACK] Seq=11989 Ack=175 Win=32736 Len=0"
"R"," R", "168491","09:15:17.275525","172.16.114.168","136.149.63.132","TCP","60","4639 → 80 [ACK] Seq=175 Ack=11990 Win=32120 Len=0"
"R"," R", "168492","09:15:17.275724","172.16.114.168","136.149.63.132","TCP","60","4639 → 80 [FIN, ACK] Seq=175 Ack=11990 Win=32120 Len=0"
"R"," R", "168493","09:15:17.278591","136.149.63.132","172.16.114.168","TCP","60","80 → 4639 [ACK] Seq=11990 Ack=176 Win=32735 Len=0"
"R"," R", "168494","09:15:17.335127","172.16.114.168","136.149.63.132","TCP","60","4640 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168495","09:15:17.338301","136.149.63.132","172.16.114.168","TCP","60","80 → 4640 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168496","09:15:17.338458","172.16.114.168","136.149.63.132","TCP","60","4640 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168497","09:15:17.338915","172.16.114.168","136.149.63.132","HTTP","279","GET /images/hpafpc.gif HTTP/1.0 "
"R"," R", "168498","09:15:17.357746","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168499","09:15:17.358689","136.149.63.132","172.16.114.168","HTTP","1155","HTTP/1.1 200 OK  (GIF89a)"
"R"," R", "168500","09:15:17.358758","136.149.63.132","172.16.114.168","TCP","60","80 → 4640 [FIN, ACK] Seq=2562 Ack=226 Win=32736 Len=0"
"R"," R", "168501","09:15:17.358913","172.16.114.168","136.149.63.132","TCP","60","4640 → 80 [ACK] Seq=226 Ack=2563 Win=30660 Len=0"
"R"," R", "168502","09:15:17.360343","172.16.114.168","136.149.63.132","TCP","60","4640 → 80 [FIN, ACK] Seq=226 Ack=2563 Win=32120 Len=0"
"R"," R", "168503","09:15:17.362217","136.149.63.132","172.16.114.168","TCP","60","80 → 4640 [ACK] Seq=2563 Ack=227 Win=32735 Len=0"
"R"," R", "168504","09:15:17.363258","172.16.114.168","136.149.63.132","TCP","60","4652 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168505","09:15:17.364785","136.149.63.132","172.16.114.168","TCP","60","80 → 4652 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168506","09:15:17.364933","172.16.114.168","136.149.63.132","TCP","60","4652 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168507","09:15:17.365359","172.16.114.168","136.149.63.132","HTTP","280","GET /images/noframe.jpg HTTP/1.0 "
"R"," R", "168508","09:15:17.379977","136.149.63.132","172.16.114.168","TCP","60","80 → 4652 [ACK] Seq=1 Ack=227 Win=32736 Len=0"
"R"," R", "168509","09:15:17.386665","136.149.63.132","172.16.114.168","TCP","1078","[TCP segment of a reassembled PDU]"
"R"," R", "168510","09:15:17.387391","136.149.63.132","172.16.114.168","HTTP","881","HTTP/1.1 200 OK  (JPEG JFIF image)"
"R"," R", "168511","09:15:17.387461","136.149.63.132","172.16.114.168","TCP","60","80 → 4652 [FIN, ACK] Seq=1852 Ack=227 Win=32736 Len=0"
"R"," R", "168512","09:15:17.387599","172.16.114.168","136.149.63.132","TCP","60","4652 → 80 [ACK] Seq=227 Ack=1853 Win=30660 Len=0"
"R"," R", "168513","09:15:17.388974","172.16.114.168","136.149.63.132","TCP","60","4652 → 80 [FIN, ACK] Seq=227 Ack=1853 Win=32120 Len=0"
"R"," R", "168514","09:15:17.390902","136.149.63.132","172.16.114.168","TCP","60","80 → 4652 [ACK] Seq=1853 Ack=228 Win=32735 Len=0"
"R"," R", "168515","09:15:17.391834","172.16.114.168","136.149.63.132","TCP","60","4653 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168516","09:15:17.393475","136.149.63.132","172.16.114.168","TCP","60","80 → 4653 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168517","09:15:17.393624","172.16.114.168","136.149.63.132","TCP","60","4653 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168518","09:15:17.394041","172.16.114.168","136.149.63.132","HTTP","277","GET /images/help.jpg HTTP/1.0 "
"R"," R", "168519","09:15:17.410908","136.149.63.132","172.16.114.168","TCP","1078","[TCP segment of a reassembled PDU]"
"R"," R", "168520","09:15:17.411390","136.149.63.132","172.16.114.168","HTTP","563","HTTP/1.1 200 OK  (JPEG JFIF image)"
"R"," R", "168521","09:15:17.411448","136.149.63.132","172.16.114.168","TCP","60","80 → 4653 [FIN, ACK] Seq=1534 Ack=224 Win=32736 Len=0"
"R"," R", "168522","09:15:17.411586","172.16.114.168","136.149.63.132","TCP","60","4653 → 80 [ACK] Seq=224 Ack=1535 Win=30660 Len=0"
"R"," R", "168523","09:15:17.413024","172.16.114.168","136.149.63.132","TCP","60","4653 → 80 [FIN, ACK] Seq=224 Ack=1535 Win=32120 Len=0"
"R"," R", "168524","09:15:17.414833","136.149.63.132","172.16.114.168","TCP","60","80 → 4653 [ACK] Seq=1535 Ack=225 Win=32735 Len=0"
"R"," R", "168525","09:15:17.415974","172.16.114.168","136.149.63.132","TCP","60","4654 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168526","09:15:17.417391","136.149.63.132","172.16.114.168","TCP","60","80 → 4654 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168527","09:15:17.417537","172.16.114.168","136.149.63.132","TCP","60","4654 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168528","09:15:17.417958","172.16.114.168","136.149.63.132","HTTP","276","GET /images/FTP.jpg HTTP/1.0 "
"R"," R", "168529","09:15:17.429975","136.149.63.132","172.16.114.168","TCP","60","80 → 4654 [ACK] Seq=1 Ack=223 Win=32736 Len=0"
"R"," R", "168530","09:15:17.435137","136.149.63.132","172.16.114.168","TCP","1078","[TCP segment of a reassembled PDU]"
"R"," R", "168531","09:15:17.435440","136.149.63.132","172.16.114.168","HTTP","352","HTTP/1.1 200 OK  (JPEG JFIF image)"
"R"," R", "168532","09:15:17.435510","136.149.63.132","172.16.114.168","TCP","60","80 → 4654 [FIN, ACK] Seq=1323 Ack=223 Win=32736 Len=0"
"R"," R", "168533","09:15:17.435650","172.16.114.168","136.149.63.132","TCP","60","4654 → 80 [ACK] Seq=223 Ack=1324 Win=30797 Len=0"
"R"," R", "168534","09:15:17.437237","172.16.114.168","136.149.63.132","TCP","60","4654 → 80 [FIN, ACK] Seq=223 Ack=1324 Win=32120 Len=0"
"R"," R", "168535","09:15:17.438943","136.149.63.132","172.16.114.168","TCP","60","80 → 4654 [ACK] Seq=1324 Ack=224 Win=32735 Len=0"
"R"," R", "168536","09:15:17.440261","172.16.114.168","136.149.63.132","TCP","60","4712 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168537","09:15:17.441522","136.149.63.132","172.16.114.168","TCP","60","80 → 4712 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168538","09:15:17.441671","172.16.114.168","136.149.63.132","TCP","60","4712 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168539","09:15:17.442044","172.16.114.168","136.149.63.132","HTTP","225","GET /frmain.htm HTTP/1.0 "
"R"," R", "168540","09:15:17.460745","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168541","09:15:17.461982","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168542","09:15:17.462392","172.16.114.168","136.149.63.132","TCP","60","4712 → 80 [ACK] Seq=172 Ack=2921 Win=30660 Len=0"
"R"," R", "168543","09:15:17.466494","136.149.63.132","172.16.114.168","HTTP","646","HTTP/1.1 200 OK  (text/html)"
"R"," R", "168544","09:15:17.466566","136.149.63.132","172.16.114.168","TCP","60","80 → 4712 [FIN, ACK] Seq=3513 Ack=172 Win=32736 Len=0"
"R"," R", "168545","09:15:17.466715","172.16.114.168","136.149.63.132","TCP","60","4712 → 80 [ACK] Seq=172 Ack=3514 Win=30660 Len=0"
"R"," R", "168546","09:15:17.564731","172.16.114.168","136.149.63.132","TCP","60","4712 → 80 [FIN, ACK] Seq=172 Ack=3514 Win=32120 Len=0"
"R"," R", "168547","09:15:17.567687","136.149.63.132","172.16.114.168","TCP","60","80 → 4712 [ACK] Seq=3514 Ack=173 Win=32735 Len=0"
"R"," R", "168548","09:15:17.577004","172.16.114.168","136.149.63.132","TCP","60","4713 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168549","09:15:17.580142","136.149.63.132","172.16.114.168","TCP","60","80 → 4713 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168550","09:15:17.580318","172.16.114.168","136.149.63.132","TCP","60","4713 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168551","09:15:17.580818","172.16.114.168","136.149.63.132","HTTP","278","GET /images/afpcmap7.gif HTTP/1.0 "
"R"," R", "168552","09:15:17.599953","136.149.63.132","172.16.114.168","TCP","60","80 → 4713 [ACK] Seq=1 Ack=225 Win=32736 Len=0"
"R"," R", "168553","09:15:17.602446","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168554","09:15:17.603678","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168555","09:15:17.612363","172.16.114.168","136.149.63.132","TCP","60","4713 → 80 [ACK] Seq=225 Ack=2921 Win=32120 Len=0"
"R"," R", "168556","09:15:17.617888","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168557","09:15:17.619135","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168558","09:15:17.620368","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168559","09:15:17.622369","172.16.114.168","136.149.63.132","TCP","60","4713 → 80 [ACK] Seq=225 Ack=7301 Win=32120 Len=0"
"R"," R", "168560","09:15:17.627679","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168561","09:15:17.628928","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168562","09:15:17.630161","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168563","09:15:17.631211","136.149.63.132","172.16.114.168","HTTP","1288","HTTP/1.1 200 OK  (GIF89a)"
"R"," R", "168564","09:15:17.632357","172.16.114.168","136.149.63.132","TCP","60","4713 → 80 [ACK] Seq=225 Ack=12915 Win=32120 Len=0"
"R"," R", "168565","09:15:17.635310","136.149.63.132","172.16.114.168","TCP","60","80 → 4713 [FIN, ACK] Seq=12915 Ack=225 Win=32736 Len=0"
"R"," R", "168566","09:15:17.635449","172.16.114.168","136.149.63.132","TCP","60","4713 → 80 [ACK] Seq=225 Ack=12916 Win=32120 Len=0"
"R"," R", "168567","09:15:17.637050","172.16.114.168","136.149.63.132","TCP","60","4713 → 80 [FIN, ACK] Seq=225 Ack=12916 Win=32120 Len=0"
"R"," R", "168568","09:15:17.638507","136.149.63.132","172.16.114.168","TCP","60","80 → 4713 [ACK] Seq=12916 Ack=226 Win=32735 Len=0"
"R"," R", "168569","09:15:17.640553","172.16.114.168","136.149.63.132","TCP","60","4724 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168570","09:15:17.643701","136.149.63.132","172.16.114.168","TCP","60","80 → 4724 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168571","09:15:17.643849","172.16.114.168","136.149.63.132","TCP","60","4724 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168572","09:15:17.644289","172.16.114.168","136.149.63.132","HTTP","279","GET /images/hcontacts.jpg HTTP/1.0 "
"R"," R", "168573","09:15:17.659933","136.149.63.132","172.16.114.168","TCP","60","80 → 4724 [ACK] Seq=1 Ack=226 Win=32736 Len=0"
"R"," R", "168574","09:15:17.663019","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168575","09:15:17.664252","136.149.63.132","172.16.114.168","TCP","1514","[TCP segment of a reassembled PDU]"
"R"," R", "168576","09:15:17.672351","172.16.114.168","136.149.63.132","TCP","60","4724 → 80 [ACK] Seq=226 Ack=2921 Win=32120 Len=0"
"R"," R", "168577","09:15:17.675908","136.149.63.132","172.16.114.168","HTTP","324","HTTP/1.1 200 OK  (JPEG JFIF image)"
"R"," R", "168578","09:15:17.675979","136.149.63.132","172.16.114.168","TCP","60","80 → 4724 [FIN, ACK] Seq=3191 Ack=226 Win=32736 Len=0"
"R"," R", "168579","09:15:17.676113","172.16.114.168","136.149.63.132","TCP","60","4724 → 80 [ACK] Seq=226 Ack=3192 Win=32120 Len=0"
"R"," R", "168580","09:15:17.677752","172.16.114.168","136.149.63.132","TCP","60","4724 → 80 [FIN, ACK] Seq=226 Ack=3192 Win=32120 Len=0"
"R"," R", "168581","09:15:17.679210","136.149.63.132","172.16.114.168","TCP","60","80 → 4724 [ACK] Seq=3192 Ack=227 Win=32735 Len=0"
"R"," R", "168582","09:15:17.681116","172.16.114.168","136.149.63.132","TCP","60","4725 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168583","09:15:17.684290","136.149.63.132","172.16.114.168","TCP","60","80 → 4725 [SYN, ACK] Seq=0 Ack=1 Win=32736 Len=0 MSS=1460"
"R"," R", "168584","09:15:17.684443","172.16.114.168","136.149.63.132","TCP","60","4725 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168585","09:15:17.684860","172.16.114.168","136.149.63.132","HTTP","277","GET /images/newspap.gif HTTP/1.0 "
"R"," R", "168586","09:15:17.699921","136.149.63.132","172.16.114.168","TCP","60","80 → 4725 [ACK] Seq=1 Ack=224 Win=32736 Len=0"
"R"," R", "168587","09:15:17.702643","136.149.63.132","172.16.114.168","TCP","1078","[TCP segment of a reassembled PDU]"
"R"," R", "168588","09:15:17.703112","136.149.63.132","172.16.114.168","HTTP","564","HTTP/1.1 200 OK  (GIF89a)"
"R"," R", "168589","09:15:17.703182","136.149.63.132","172.16.114.168","TCP","60","80 → 4725 [FIN, ACK] Seq=1535 Ack=224 Win=32736 Len=0"
"R"," R", "168590","09:15:17.703314","172.16.114.168","136.149.63.132","TCP","60","4725 → 80 [ACK] Seq=224 Ack=1536 Win=30660 Len=0"
"R"," R", "168591","09:15:17.705091","172.16.114.168","136.149.63.132","TCP","60","4725 → 80 [FIN, ACK] Seq=224 Ack=1536 Win=32120 Len=0"
"R"," R", "168592","09:15:17.706578","136.149.63.132","172.16.114.168","TCP","60","80 → 4725 [ACK] Seq=1536 Ack=225 Win=32735 Len=0"
"R"," R", "168593","09:15:18.514217","","","LOOP","60","Reply"
"R"," R", "168594","09:15:18.588400","197.218.177.69","172.16.113.50","TELNET","63","Telnet Data ..."
"R"," R", "168595","09:15:18.645690","172.16.113.50","197.218.177.69","TELNET","65","Telnet Data ..."
"R"," R", "168596","09:15:18.665742","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=219 Ack=955 Win=32696 Len=0"
"R"," R", "168597","09:15:18.732503","172.16.113.50","197.218.177.69","TELNET","101","Telnet Data ..."
"R"," R", "168598","09:15:18.745719","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=219 Ack=1002 Win=32696 Len=0"
"R"," R", "168599","09:15:18.751580","172.16.113.50","197.218.177.69","TELNET","60","Telnet Data ..."
"R"," R", "168600","09:15:18.765712","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=219 Ack=1008 Win=32696 Len=0"
"R"," R", "168601","09:15:20.252598","172.16.112.20","172.16.255.255","RIPv1","66","Response"
"R"," R", "168602","09:15:20.252815","172.16.112.20","172.16.118.255","RIPv1","66","Response"
"R"," R", "168603","09:15:22.197394","197.218.177.69","172.16.113.50","TELNET","63","Telnet Data ..."
"R"," R", "168604","09:15:22.201234","172.16.113.50","197.218.177.69","TELNET","60","Telnet Data ..."
"R"," R", "168605","09:15:22.215023","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=228 Ack=1009 Win=32696 Len=0"
"R"," R", "168606","09:15:22.215932","172.16.113.50","197.218.177.69","TELNET","64","Telnet Data ..."
"R"," R", "168607","09:15:22.235014","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=228 Ack=1019 Win=32696 Len=0"
"R"," R", "168608","09:15:22.827034","172.16.113.50","197.218.177.69","TELNET","60","Telnet Data ..."
"R"," R", "168609","09:15:22.844940","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=228 Ack=1023 Win=32696 Len=0"
"R"," R", "168610","09:15:22.846100","172.16.113.50","197.218.177.69","TELNET","152","Telnet Data ..."
"R"," R", "168611","09:15:22.864888","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=228 Ack=1121 Win=32696 Len=0"
"R"," R", "168612","09:15:22.989225","172.16.113.50","197.218.177.69","TELNET","116","Telnet Data ..."
"R"," R", "168613","09:15:23.004862","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=228 Ack=1183 Win=32696 Len=0"
"R"," R", "168614","09:15:23.005888","172.16.113.50","197.218.177.69","TELNET","60","Telnet Data ..."
"R"," R", "168615","09:15:23.024856","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=228 Ack=1189 Win=32696 Len=0"
"R"," R", "168616","09:15:27.106886","197.218.177.69","172.16.113.50","TELNET","63","Telnet Data ..."
"R"," R", "168617","09:15:27.110660","172.16.113.50","197.218.177.69","TELNET","60","Telnet Data ..."
"R"," R", "168618","09:15:27.124030","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=237 Ack=1190 Win=32696 Len=0"
"R"," R", "168619","09:15:27.124924","172.16.113.50","197.218.177.69","TELNET","64","Telnet Data ..."
"R"," R", "168620","09:15:27.144024","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=237 Ack=1200 Win=32696 Len=0"
"R"," R", "168621","09:15:27.192987","172.16.113.50","197.218.177.69","TELNET","101","Telnet Data ..."
"R"," R", "168622","09:15:27.204020","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=237 Ack=1247 Win=32696 Len=0"
"R"," R", "168623","09:15:27.208200","172.16.113.50","197.218.177.69","TELNET","60","Telnet Data ..."
"R"," R", "168624","09:15:27.224006","197.218.177.69","172.16.113.50","TCP","60","4677 → 23 [ACK] Seq=237 Ack=1253 Win=32696 Len=0"
"R"," R", "168625","09:15:28.511815","","","LOOP","60","Reply"
"R"," R", "168626","09:15:28.885509","206.48.44.50","172.16.114.50","TCP","60","2297 → 80 [SYN] Seq=0 Win=512 Len=0 MSS=1460"
"R"," R", "168627","09:15:28.885706","206.48.44.50","172.16.114.50","TCP","60","2297 → 80 [FIN] Seq=1 Win=0 Len=0"
"R"," R", "168628","09:15:28.885932","206.48.44.50","172.16.114.50","TCP","60","2297 → 80 [RST] Seq=2 Win=0 Len=0"
"R"," R", "168629","09:15:28.886002","172.16.114.50","206.48.44.50","TCP","60","80 → 2297 [SYN, ACK] Seq=0 Ack=1 Win=31744 Len=0 MSS=1460"
"R"," R", "168630","09:15:29.905157","206.48.44.50","172.16.114.50","TCP","60","[TCP Keep-Alive] 2297 → 80 [ACK] Seq=1 Ack=1 Win=32120 Len=0"
"R"," R", "168631","09:15:29.908214","206.48.44.50","172.16.114.50","TCP","60","[TCP Keep-Alive] 2297 → 80 [PSH, ACK] Seq=1 Ack=1 Win=32120 Len=1"
"R"," R", "168632","09:15:29.908413","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168633","09:15:29.908605","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168634","09:15:29.908798","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168635","09:15:29.909059","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168636","09:15:29.909331","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168637","09:15:29.909636","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168638","09:15:29.909902","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168639","09:15:29.910176","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168640","09:15:29.910443","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168641","09:15:29.910710","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168642","09:15:29.910979","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168643","09:15:29.911250","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168644","09:15:29.911516","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168645","09:15:29.911783","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168646","09:15:29.912054","206.48.44.50","172.16.114.50","TCP","60","2297 → 80 [PSH, ACK] Seq=16 Ack=1 Win=32120 Len=1"
"R"," R", "168647","09:15:29.912323","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
"R"," R", "168648","09:15:29.912591","206.48.44.50","172.16.114.50","TCP","60","[TCP segment of a reassembled PDU]"
